occupation_id,demand_expansion_context,labor_demand_context,labor_tightness_context,ai_adoption_context,adoption_realization_context,labor_context_confidence,adoption_context_confidence,context_confidence,btos_covered_sector_share,source_mix,notes,demand_floor_suppression
occ_41_3011_00,0.3562,0.2645,0.5700,0.9837,0.9515,0.8500,0.9498,0.8949,0.9920,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.019|openings_rate_pct=0.617|inverse_unemployment_pct=0.500|btos_adoption_pct=0.983|btos_current_ai_use_pct=0.983|btos_workflow_change_pct=0.983|adoption_activation=1.000,0.20
occ_41_3021_00,0.5469,0.5199,0.6100,0.5404,0.5526,0.8500,0.9522,0.8960,0.9990,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.453|openings_rate_pct=0.683|inverse_unemployment_pct=0.500|btos_adoption_pct=0.500|btos_current_ai_use_pct=0.466|btos_workflow_change_pct=0.483|adoption_activation=0.801,1.00
occ_41_3031_00,0.4022,0.4075,0.3900,0.5220,0.5222,0.8500,0.9492,0.8947,0.9960,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.415|openings_rate_pct=0.317|inverse_unemployment_pct=0.500|btos_adoption_pct=0.483|btos_current_ai_use_pct=0.448|btos_workflow_change_pct=0.448|adoption_activation=0.767,1.00
occ_41_3091_00,0.5547,0.5096,0.6600,0.7126,0.7196,0.8500,0.9385,0.8898,0.9970,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.396|openings_rate_pct=0.767|inverse_unemployment_pct=0.500|btos_adoption_pct=0.672|btos_current_ai_use_pct=0.672|btos_workflow_change_pct=0.724|adoption_activation=1.000,1.00
occ_41_4011_00,0.4678,0.4326,0.5500,0.1136,0.1437,0.8500,0.9408,0.8909,0.9810,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.340|openings_rate_pct=0.583|inverse_unemployment_pct=0.500|btos_adoption_pct=0.017|btos_current_ai_use_pct=0.017|btos_workflow_change_pct=0.017|adoption_activation=0.025,1.00
occ_43_1011_00,0.4420,0.3829,0.5800,0.3066,0.3244,0.8500,0.9017,0.8733,0.8590,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.226|openings_rate_pct=0.633|inverse_unemployment_pct=0.500|btos_adoption_pct=0.241|btos_current_ai_use_pct=0.259|btos_workflow_change_pct=0.241|adoption_activation=0.376,1.00
occ_43_3021_00,0.4643,0.3933,0.6300,0.3784,0.3984,0.8500,0.9389,0.8900,0.9650,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.208|openings_rate_pct=0.717|inverse_unemployment_pct=0.500|btos_adoption_pct=0.310|btos_current_ai_use_pct=0.310|btos_workflow_change_pct=0.328|adoption_activation=0.506,1.00
occ_43_3031_00,0.4699,0.3499,0.7500,0.3332,0.3548,0.8500,0.9251,0.8838,0.9440,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.038|openings_rate_pct=0.917|inverse_unemployment_pct=0.500|btos_adoption_pct=0.276|btos_current_ai_use_pct=0.241|btos_workflow_change_pct=0.259|adoption_activation=0.424,1.00
occ_43_4031_00,0.5711,0.5159,0.7000,0.7923,0.6954,0.8500,0.6966,0.7810,0.1640,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.377|openings_rate_pct=0.833|inverse_unemployment_pct=0.500|btos_adoption_pct=0.862|btos_current_ai_use_pct=0.862|btos_workflow_change_pct=0.862|adoption_activation=1.000,1.00
occ_43_4051_00,0.4831,0.3645,0.7600,0.2107,0.2398,0.8500,0.9333,0.8875,0.9600,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.057|openings_rate_pct=0.933|inverse_unemployment_pct=0.500|btos_adoption_pct=0.121|btos_current_ai_use_pct=0.138|btos_workflow_change_pct=0.138|adoption_activation=0.201,1.00
occ_43_4131_00,0.2900,0.2601,0.3600,0.5737,0.5695,0.8500,0.9483,0.8942,0.9870,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.170|openings_rate_pct=0.267|inverse_unemployment_pct=0.500|btos_adoption_pct=0.534|btos_current_ai_use_pct=0.517|btos_workflow_change_pct=0.517|adoption_activation=0.861,1.00
occ_43_4171_00,0.5676,0.4766,0.7800,0.2350,0.2632,0.8500,0.9437,0.8922,0.9710,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.245|openings_rate_pct=0.967|inverse_unemployment_pct=0.500|btos_adoption_pct=0.155|btos_current_ai_use_pct=0.172|btos_workflow_change_pct=0.121|adoption_activation=0.246,1.00
occ_43_6011_00,0.4807,0.3996,0.6700,0.4392,0.4562,0.8500,0.9149,0.8792,0.9180,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.189|openings_rate_pct=0.783|inverse_unemployment_pct=0.500|btos_adoption_pct=0.379|btos_current_ai_use_pct=0.397|btos_workflow_change_pct=0.397|adoption_activation=0.617,1.00
occ_43_6014_00,0.5221,0.4288,0.7400,0.2834,0.3083,0.8500,0.9117,0.8778,0.9120,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.189|openings_rate_pct=0.900|inverse_unemployment_pct=0.500|btos_adoption_pct=0.207|btos_current_ai_use_pct=0.224|btos_workflow_change_pct=0.224|adoption_activation=0.334,1.00
occ_43_9041_00,0.3465,0.2893,0.4800,0.4532,0.4606,0.8500,0.9511,0.8955,0.9890,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.132|openings_rate_pct=0.467|inverse_unemployment_pct=0.500|btos_adoption_pct=0.414|btos_current_ai_use_pct=0.362|btos_workflow_change_pct=0.362|adoption_activation=0.642,1.00
occ_43_9061_00,0.4436,0.3208,0.7300,0.2447,0.2684,0.8500,0.8884,0.8673,0.8350,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.000|openings_rate_pct=0.883|inverse_unemployment_pct=0.500|btos_adoption_pct=0.172|btos_current_ai_use_pct=0.190|btos_workflow_change_pct=0.190|adoption_activation=0.263,1.00
occ_43_9111_00,0.5372,0.4289,0.7900,0.7587,0.7575,0.8500,0.9049,0.8747,0.8890,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.151|openings_rate_pct=0.983|inverse_unemployment_pct=0.500|btos_adoption_pct=0.741|btos_current_ai_use_pct=0.741|btos_workflow_change_pct=0.759|adoption_activation=1.000,1.00
